case_id,activity,resource,start_time,end_time
0,Check application form completeness,Clerk-000001,2023-04-20 08:00:00+00:00,2023-04-20 08:14:23.497469+00:00
0,AML check,AML Investigator-000002,2023-04-20 08:14:23.497469+00:00,2023-04-20 09:33:51.203074+00:00
1,Check application form completeness,Clerk-000006,2023-04-20 08:30:00+00:00,2023-04-20 08:58:51.895713+00:00
0,Appraise property,Appraiser-000001,2023-04-20 09:33:51.203074+00:00,2023-04-20 10:33:06.239307+00:00
1,Appraise property,Appraiser-000002,2023-04-20 08:58:51.895713+00:00,2023-04-20 11:05:45.122607+00:00
2,Check application form completeness,Clerk-000008,2023-04-20 09:00:00+00:00,2023-04-20 09:37:14.260330+00:00
0,Check credit history,Clerk-000005,2023-04-20 10:33:06.239307+00:00,2023-04-20 11:31:27.098319+00:00
3,Check application form completeness,Clerk-000007,2023-04-20 09:30:00+00:00,2023-04-20 09:43:23.830911+00:00
2,Return application back to applicant,Clerk-000003,2023-04-20 09:37:14.260330+00:00,2023-04-20 09:42:14.260330+00:00
1,AML check,AML Investigator-000002,2023-04-20 11:05:45.122607+00:00,2023-04-20 11:18:23.319217+00:00
0,Assess loan risk,Loan Officer-000001,2023-04-20 11:31:27.098319+00:00,2023-04-20 11:51:27.098319+00:00
2,Applicant completes form,Applicant-000001,2023-04-20 09:42:14.260330+00:00,2023-04-20 10:42:14.260330+00:00
3,Check credit history,Clerk-000002,2023-04-20 09:43:23.830911+00:00,2023-04-20 11:06:40.536778+00:00
4,Check application form completeness,Clerk-000001,2023-04-20 10:00:00+00:00,2023-04-20 10:13:19.157835+00:00
1,Check credit history,Clerk-000002,2023-04-20 11:18:23.319217+00:00,2023-04-20 11:35:40.279039+00:00
0,Reject application,Clerk-000008,2023-04-20 11:51:27.098319+00:00,2023-04-20 12:01:27.098319+00:00
4,Check credit history,Clerk-000004,2023-04-20 10:13:19.157835+00:00,2023-04-20 10:16:55.187688+00:00
5,Check application form completeness,Clerk-000006,2023-04-20 10:30:00+00:00,2023-04-20 10:31:44.357427+00:00
2,Check application form completeness,Clerk-000003,2023-04-20 10:42:14.260330+00:00,2023-04-20 11:48:07.616107+00:00
3,Appraise property,Appraiser-000001,2023-04-20 11:06:40.536778+00:00,2023-04-20 11:44:31.272997+00:00
1,Assess loan risk,Loan Officer-000004,2023-04-20 11:35:40.279039+00:00,2023-04-20 11:55:40.279039+00:00
4,AML check,AML Investigator-000001,2023-04-20 10:16:55.187688+00:00,2023-04-20 11:13:27.689506+00:00
6,Check application form completeness,Clerk-000007,2023-04-20 11:00:00+00:00,2023-04-20 11:27:06.486123+00:00
3,AML check,AML Investigator-000002,2023-04-20 11:44:31.272997+00:00,2023-04-20 13:40:01.948480+00:00
2,Appraise property,Appraiser-000001,2023-04-20 11:48:07.616107+00:00,2023-04-20 12:07:34.275457+00:00
1,Design loan offer,Loan Officer-000003,2023-04-20 11:55:40.279039+00:00,2023-04-20 12:45:17.993008+00:00
4,Appraise property,Appraiser-000002,2023-04-20 11:13:27.689506+00:00,2023-04-20 11:23:56.849689+00:00
5,AML check,AML Investigator-000001,2023-04-20 11:13:27.689506+00:00,2023-04-20 11:39:43.175827+00:00
6,Return application back to applicant,Clerk-000006,2023-04-20 11:27:06.486123+00:00,2023-04-20 11:32:06.486123+00:00
7,Check application form completeness,Clerk-000001,2023-04-20 11:30:00+00:00,2023-04-20 11:50:05.336577+00:00
2,AML check,AML Investigator-000001,2023-04-20 12:07:34.275457+00:00,2023-04-20 13:03:29.020117+00:00
1,Approve loan offer,Senior Officer-000001,2023-04-20 12:45:17.993008+00:00,2023-04-20 13:05:17.993008+00:00
3,Assess loan risk,Loan Officer-000001,2023-04-20 13:40:01.948480+00:00,2023-04-20 14:00:01.948480+00:00
4,Assess loan risk,Loan Officer-000002,2023-04-20 11:23:56.849689+00:00,2023-04-20 11:43:56.849689+00:00
6,Applicant completes form,Applicant-000001,2023-04-20 11:32:06.486123+00:00,2023-04-20 12:32:06.486123+00:00
5,Check credit history,Clerk-000005,2023-04-20 11:39:43.175827+00:00,2023-04-20 11:44:02.961713+00:00
7,Check credit history,Clerk-000005,2023-04-20 11:50:05.336577+00:00,2023-04-20 13:06:16.017527+00:00
8,Check application form completeness,Clerk-000007,2023-04-20 12:00:00+00:00,2023-04-20 12:15:01.728750+00:00
2,Check credit history,Clerk-000002,2023-04-20 13:03:29.020117+00:00,2023-04-20 14:39:47.201635+00:00
1,Cancel application,Clerk-000008,2023-04-20 13:05:17.993008+00:00,2023-04-20 13:10:17.993008+00:00
3,Reject application,Clerk-000004,2023-04-20 14:00:01.948480+00:00,2023-04-20 14:10:01.948480+00:00
4,Design loan offer,Loan Officer-000002,2023-04-20 11:43:56.849689+00:00,2023-04-20 11:56:15.911448+00:00
5,Appraise property,Appraiser-000002,2023-04-20 11:44:02.961713+00:00,2023-04-20 11:56:44.378128+00:00
8,Check credit history,Clerk-000007,2023-04-20 12:15:01.728750+00:00,2023-04-20 12:49:57.804006+00:00
9,Check application form completeness,Clerk-000003,2023-04-20 12:30:00+00:00,2023-04-20 12:30:00.538323+00:00
6,Check application form completeness,Clerk-000006,2023-04-20 12:32:06.486123+00:00,2023-04-20 12:57:24.316205+00:00
7,Appraise property,Appraiser-000001,2023-04-20 13:06:16.017527+00:00,2023-04-20 13:17:01.564789+00:00
2,Assess loan risk,Loan Officer-000003,2023-04-20 14:39:47.201635+00:00,2023-04-20 14:59:47.201635+00:00
4,Approve loan offer,Senior Officer-000002,2023-04-20 11:56:15.911448+00:00,2023-04-20 12:16:15.911448+00:00
5,Assess loan risk,Loan Officer-000004,2023-04-20 11:56:44.378128+00:00,2023-04-20 12:16:44.378128+00:00
9,Check credit history,Clerk-000003,2023-04-20 12:30:00.538323+00:00,2023-04-20 15:09:04.618077+00:00
6,Appraise property,Appraiser-000002,2023-04-20 12:57:24.316205+00:00,2023-04-20 13:36:33.942524+00:00
7,AML check,AML Investigator-000001,2023-04-20 13:17:01.564789+00:00,2023-04-20 13:27:04.215171+00:00
4,Approve application,Clerk-000001,2023-04-20 12:16:15.911448+00:00,2023-04-20 12:21:15.911448+00:00
5,Reject application,Clerk-000004,2023-04-20 12:16:44.378128+00:00,2023-04-20 12:26:44.378128+00:00
7,Assess loan risk,Loan Officer-000004,2023-04-20 13:27:04.215171+00:00,2023-04-20 13:47:04.215171+00:00
6,Check credit history,Clerk-000005,2023-04-20 13:36:33.942524+00:00,2023-04-20 13:46:18.173425+00:00
2,Reject application,Clerk-000004,2023-04-20 14:59:47.201635+00:00,2023-04-20 15:09:47.201635+00:00
9,Appraise property,Appraiser-000001,2023-04-20 15:09:04.618077+00:00,2023-04-21 07:02:21.590616+00:00
8,Appraise property,Appraiser-000002,2023-04-20 13:36:33.942524+00:00,2023-04-20 14:12:13.454027+00:00
6,AML check,AML Investigator-000002,2023-04-20 13:46:18.173425+00:00,2023-04-20 13:48:46.915545+00:00
7,Design loan offer,Loan Officer-000004,2023-04-20 13:47:04.215171+00:00,2023-04-20 14:04:28.475688+00:00
7,Approve loan offer,Senior Officer-000002,2023-04-20 14:04:28.475688+00:00,2023-04-20 14:24:28.475688+00:00
8,AML check,AML Investigator-000002,2023-04-20 14:12:13.454027+00:00,2023-04-20 14:35:16.548720+00:00
9,AML check,AML Investigator-000002,2023-04-21 07:02:21.590616+00:00,2023-04-21 07:29:36.666780+00:00
6,Assess loan risk,Loan Officer-000002,2023-04-20 13:48:46.915545+00:00,2023-04-20 14:08:46.915545+00:00
7,Cancel application,Clerk-000005,2023-04-20 14:24:28.475688+00:00,2023-04-20 14:29:28.475688+00:00
8,Assess loan risk,Loan Officer-000002,2023-04-20 14:35:16.548720+00:00,2023-04-20 14:55:16.548720+00:00
9,Assess loan risk,Loan Officer-000003,2023-04-21 07:29:36.666780+00:00,2023-04-21 07:49:36.666780+00:00
6,Design loan offer,Loan Officer-000004,2023-04-20 14:08:46.915545+00:00,2023-04-20 14:13:10.846954+00:00
9,Design loan offer,Loan Officer-000003,2023-04-21 07:49:36.666780+00:00,2023-04-21 08:02:01.165676+00:00
6,Approve loan offer,Senior Officer-000001,2023-04-20 14:13:10.846954+00:00,2023-04-20 14:33:10.846954+00:00
8,Reject application,Clerk-000002,2023-04-20 14:55:16.548720+00:00,2023-04-20 15:05:16.548720+00:00
9,Approve loan offer,Senior Officer-000002,2023-04-21 08:02:01.165676+00:00,2023-04-21 08:22:01.165676+00:00
6,Cancel application,Clerk-000001,2023-04-20 14:33:10.846954+00:00,2023-04-20 14:38:10.846954+00:00
9,Cancel application,Clerk-000004,2023-04-21 08:22:01.165676+00:00,2023-04-21 08:27:01.165676+00:00
