call,cache_hit,resource,activity,status,prompt_tokens,completion_tokens,total_tokens,latency_seconds,error_type,error_message
1,0,Clerk-000001,Check application form completeness,success,240,43,283,0.229273,,
2,0,Clerk-000006,Check application form completeness,success,240,40,280,0.179849,,
3,0,Appraiser-000001,Appraise property,success,253,42,295,0.176845,,
4,0,Appraiser-000002,Appraise property,success,253,42,295,0.178,,
5,0,Clerk-000006,Check application form completeness,success,240,47,287,0.175951,,
6,0,Clerk-000008,Check application form completeness,success,240,48,288,0.21016,,
7,0,Clerk-000005,Check credit history,success,252,43,295,0.163133,,
8,0,Clerk-000002,Check credit history,success,252,43,295,0.154559,,
9,0,Appraiser-000002,Appraise property,success,253,42,295,0.175776,,
10,0,Clerk-000008,Check application form completeness,success,240,43,283,0.168259,,
11,0,Clerk-000007,Check application form completeness,success,240,43,283,0.179749,,
12,0,AML Investigator-000002,AML check,success,251,43,294,0.14428,,
13,0,AML Investigator-000001,AML check,success,251,43,294,0.149359,,
14,0,Clerk-000002,Check credit history,success,252,43,295,0.18348,,
15,0,Clerk-000004,Check credit history,success,252,43,295,0.194122,,
16,0,Clerk-000007,Return application back to applicant,success,255,40,295,0.201022,,
17,0,Clerk-000003,Return application back to applicant,success,255,40,295,0.185651,,
18,0,Clerk-000003,Check application form completeness,success,240,43,283,0.196631,,
19,0,Clerk-000004,Check application form completeness,success,240,43,283,0.183853,,
20,0,Loan Officer-000001,Assess loan risk,success,251,43,294,0.191757,,
21,0,Loan Officer-000004,Assess loan risk,success,251,43,294,0.183967,,
22,0,Applicant-000001,Applicant completes form,success,253,44,297,0.211809,,
23,0,Clerk-000004,Return application back to applicant,success,255,44,299,0.170399,,
24,0,Clerk-000006,Return application back to applicant,success,296,43,339,0.197873,,
25,0,AML Investigator-000001,AML check,success,251,43,294,0.188988,,
26,0,AML Investigator-000002,AML check,success,294,44,338,0.200899,,
27,0,Clerk-000004,Reject application,success,251,43,294,0.154922,,
28,0,Clerk-000001,Reject application,success,292,44,336,0.202344,,
29,0,Applicant-000001,Applicant completes form,success,298,44,342,0.209301,,
30,0,Clerk-000004,Check application form completeness,success,240,43,283,0.189702,,
31,0,Clerk-000008,Check application form completeness,success,281,41,322,0.172221,,
32,0,Clerk-000004,Check application form completeness,success,253,43,296,0.165884,,
33,0,Clerk-000007,Check application form completeness,success,299,44,343,0.455764,,
34,0,Clerk-000004,Return application back to applicant,success,255,40,295,0.211238,,
35,0,Clerk-000003,Return application back to applicant,success,296,43,339,0.208317,,
36,0,Loan Officer-000004,Assess loan risk,success,251,43,294,0.19002,,
37,0,Loan Officer-000002,Assess loan risk,success,251,45,296,0.203379,,
38,0,Applicant-000001,Applicant completes form,success,298,43,341,0.209228,,
39,0,Clerk-000004,Check application form completeness,success,240,43,283,0.205733,,
40,0,Clerk-000002,Check application form completeness,success,284,53,337,0.22191,,
41,0,AML Investigator-000001,AML check,success,252,43,295,0.161868,,
42,0,AML Investigator-000002,AML check,success,334,44,378,0.204594,,
43,0,Applicant-000001,Applicant completes form,success,339,45,384,0.20895,,
44,0,Clerk-000004,Reject application,success,251,43,294,0.175366,,
45,0,Clerk-000005,Reject application,success,295,57,352,0.237349,,
46,0,Appraiser-000001,Appraise property,success,297,45,342,0.348596,,
47,0,Appraiser-000002,Appraise property,success,297,45,342,0.478819,,
48,0,Clerk-000004,Check application form completeness,success,240,43,283,0.463143,,
49,0,Clerk-000001,Check application form completeness,success,320,41,361,0.216959,,
50,0,Clerk-000004,Check application form completeness,success,253,43,296,0.411343,,
51,0,Clerk-000006,Check application form completeness,success,336,41,377,0.258455,,
52,0,Clerk-000004,Check credit history,success,251,43,294,0.286909,,
53,0,Clerk-000005,Check credit history,success,334,46,380,1.931361,,
54,0,Applicant-000001,Applicant completes form,success,339,42,381,0.201193,,
55,0,AML Investigator-000001,AML check,success,251,43,294,0.179129,,
56,0,Clerk-000004,Check credit history,success,253,43,296,0.245472,,
57,0,Clerk-000002,Check credit history,success,334,41,375,0.250241,,
58,0,Clerk-000004,Check credit history,success,253,43,296,0.284525,,
59,0,Clerk-000003,Check credit history,success,336,45,381,0.247068,,
60,0,Appraiser-000002,Appraise property,success,296,44,340,0.204951,,
61,0,Appraiser-000001,Appraise property,success,336,45,381,0.323662,,
62,0,Applicant-000001,Applicant completes form,success,339,42,381,0.208673,,
63,0,Clerk-000008,Check application form completeness,success,318,41,359,0.204591,,
64,0,Clerk-000007,Check application form completeness,success,327,42,369,0.178289,,
65,0,Clerk-000003,Check credit history,success,334,51,385,0.20864,,
66,0,Clerk-000007,Check credit history,success,338,44,382,0.170224,,
67,0,Clerk-000007,Check application form completeness,success,327,42,369,0.196453,,
68,0,Clerk-000001,Check application form completeness,success,357,43,400,0.175568,,
69,0,AML Investigator-000001,AML check,success,294,44,338,0.68201,,
70,0,Loan Officer-000002,Assess loan risk,success,252,42,294,0.194286,,
71,0,Loan Officer-000003,Assess loan risk,success,252,43,295,0.181104,,
72,0,Appraiser-000002,Appraise property,success,296,45,341,0.188117,,
73,0,Appraiser-000001,Appraise property,success,376,43,419,0.223403,,
74,0,Clerk-000007,Check credit history,success,340,48,388,0.229972,,
75,0,Clerk-000006,Check credit history,success,377,53,430,0.23758,,
76,0,Loan Officer-000003,Assess loan risk,success,252,43,295,0.173767,,
77,0,Loan Officer-000001,Assess loan risk,success,297,44,341,0.375445,,
78,0,Clerk-000006,Check application form completeness,success,377,41,418,0.237694,,
79,0,Clerk-000008,Check application form completeness,success,368,41,409,0.274238,,
80,0,Clerk-000003,Check credit history,success,376,45,421,0.253768,,
81,0,Clerk-000008,Check credit history,success,368,51,419,0.428348,,
82,0,Clerk-000008,Check application form completeness,success,355,42,397,0.175749,,
83,0,Clerk-000007,Check application form completeness,success,367,42,409,0.193242,,
84,0,Appraiser-000002,Appraise property,success,295,44,339,0.195563,,
85,0,Loan Officer-000003,Design loan offer,success,251,43,294,0.194874,,
86,0,Loan Officer-000002,Design loan offer,success,296,43,339,0.175915,,
87,0,AML Investigator-000001,AML check,success,333,45,378,0.204028,,
88,0,AML Investigator-000002,AML check,success,372,45,417,0.188844,,
89,0,AML Investigator-000001,AML check,success,333,45,378,0.205045,,
90,0,AML Investigator-000002,AML check,success,372,43,415,0.172472,,
91,0,Loan Officer-000003,Design loan offer,success,251,43,294,0.148008,,
92,0,Loan Officer-000004,Design loan offer,success,296,52,348,0.20575,,
93,0,Clerk-000008,Check credit history,success,368,51,419,0.207866,,
94,0,Clerk-000006,Check credit history,success,381,44,425,0.191522,,
95,0,AML Investigator-000001,AML check,success,373,45,418,0.199863,,
96,0,Appraiser-000002,Appraise property,success,336,45,381,0.181176,,
97,0,Appraiser-000001,Appraise property,success,376,45,421,0.211809,,
98,0,Loan Officer-000003,Assess loan risk,success,252,43,295,0.167341,,
99,0,Loan Officer-000001,Assess loan risk,success,338,44,382,1.353227,,
100,0,Senior Officer-000001,Approve loan offer,success,250,42,292,0.168594,,
101,0,Senior Officer-000002,Approve loan offer,success,250,46,296,0.168643,,
102,0,Loan Officer-000003,Assess loan risk,success,251,43,294,0.203667,,
103,0,Loan Officer-000004,Assess loan risk,success,336,46,382,0.416489,,
104,0,Appraiser-000002,Appraise property,success,335,45,380,0.264808,,
105,0,Appraiser-000001,Appraise property,success,375,45,420,0.222305,,
106,0,Senior Officer-000002,Approve loan offer,success,250,46,296,0.183247,,
107,0,AML Investigator-000001,AML check,success,373,45,418,0.18452,,
108,0,Loan Officer-000003,Design loan offer,success,251,43,294,0.185494,,
109,0,Loan Officer-000001,Design loan offer,success,378,44,422,0.186822,,
110,0,AML Investigator-000002,AML check,success,372,43,415,0.172923,,
111,0,AML Investigator-000001,AML check,success,372,45,417,0.182337,,
112,0,AML Investigator-000002,AML check,success,372,43,415,0.219131,,
113,0,AML Investigator-000001,AML check,success,372,45,417,0.212785,,
114,0,Clerk-000004,Cancel application,success,295,50,345,0.168835,,
115,0,Clerk-000005,Cancel application,success,374,47,421,0.197394,,
116,0,Loan Officer-000003,Design loan offer,success,295,47,342,0.178725,,
117,0,Loan Officer-000002,Design loan offer,success,336,46,382,0.17302,,
118,0,Loan Officer-000002,Assess loan risk,success,337,43,380,0.330451,,
119,0,Loan Officer-000003,Assess loan risk,success,336,53,389,0.221905,,
120,0,Clerk-000004,Cancel application,success,295,47,342,0.188306,,
121,0,Clerk-000008,Cancel application,success,366,46,412,0.224086,,
122,0,Senior Officer-000002,Approve loan offer,success,295,42,337,0.202058,,
123,0,Clerk-000004,Check credit history,success,334,46,380,0.16937,,
124,0,Clerk-000008,Check credit history,success,366,44,410,0.165077,,
125,0,AML Investigator-000001,AML check,success,372,45,417,0.182607,,
126,0,Appraiser-000002,Appraise property,success,335,45,380,0.178288,,
127,0,Appraiser-000001,Appraise property,success,375,43,418,0.200946,,
128,0,Loan Officer-000003,Design loan offer,success,376,45,421,0.183273,,
129,0,Clerk-000008,Cancel application,success,366,46,412,0.216127,,
130,0,Clerk-000001,Cancel application,success,368,47,415,0.215767,,
131,0,Appraiser-000002,Appraise property,success,336,45,381,0.179992,,
132,0,Loan Officer-000002,Assess loan risk,success,337,43,380,0.20277,,
133,0,Loan Officer-000001,Assess loan risk,success,379,44,423,0.18472,,
134,0,Senior Officer-000001,Approve loan offer,success,295,45,340,0.204199,,
135,0,Senior Officer-000002,Approve loan offer,success,336,42,378,0.23595,,
136,0,Senior Officer-000001,Approve loan offer,success,336,45,381,0.193182,,
137,0,Senior Officer-000002,Approve loan offer,success,336,42,378,0.181873,,
138,0,Loan Officer-000003,Assess loan risk,success,376,42,418,0.253544,,
139,0,Loan Officer-000002,Assess loan risk,success,337,43,380,0.209759,,
140,0,Loan Officer-000004,Assess loan risk,success,378,46,424,0.193218,,
141,0,Clerk-000008,Approve application,success,367,42,409,0.184409,,
142,0,Clerk-000002,Approve application,success,373,45,418,0.217295,,
143,0,Clerk-000003,Approve application,success,378,49,427,0.192646,,
144,0,Clerk-000007,Approve application,success,374,44,418,0.225833,,
145,0,Clerk-000004,Reject application,success,374,54,428,0.250109,,
146,0,Clerk-000002,Reject application,success,372,46,418,0.816513,,
147,0,Loan Officer-000002,Design loan offer,success,336,46,382,0.196218,,
148,0,Loan Officer-000001,Design loan offer,success,378,44,422,0.19926,,
149,0,Loan Officer-000002,Design loan offer,success,376,41,417,0.189394,,
150,0,Loan Officer-000004,Design loan offer,success,377,46,423,0.180584,,
151,0,Senior Officer-000002,Approve loan offer,success,336,42,378,0.180446,,
152,0,Senior Officer-000001,Approve loan offer,success,377,42,419,0.185479,,
153,0,Senior Officer-000001,Approve loan offer,success,377,45,422,0.226476,,
154,0,Clerk-000002,Cancel application,success,372,47,419,0.253744,,
155,0,Clerk-000005,Cancel application,success,373,46,419,0.187363,,
156,0,Clerk-000002,Cancel application,success,372,47,419,0.192784,,
157,0,Clerk-000004,Cancel application,success,373,47,420,0.212929,,
