case_id,activity,resource,start_time,end_time
0,Check application form completeness,Clerk-000001,2023-04-20 08:00:00+00:00,2023-04-20 08:48:16.529277+00:00
1,Check application form completeness,Clerk-000002,2023-04-20 08:30:00+00:00,2023-04-20 08:44:55.433731+00:00
0,Check credit history,Clerk-000004,2023-04-20 08:48:16.529277+00:00,2023-04-20 08:58:18.995206+00:00
1,Check credit history,Clerk-000008,2023-04-20 08:44:55.433731+00:00,2023-04-20 08:46:32.212931+00:00
0,AML check,AML Investigator-000002,2023-04-20 08:58:18.995206+00:00,2023-04-20 11:24:07.948385+00:00
1,AML check,AML Investigator-000002,2023-04-20 11:24:07.948385+00:00,2023-04-20 11:59:22.231237+00:00
2,Check application form completeness,Clerk-000003,2023-04-20 09:00:00+00:00,2023-04-20 09:05:46.463451+00:00
0,Appraise property,Appraiser-000002,2023-04-20 11:24:07.948385+00:00,2023-04-20 11:46:31.685302+00:00
2,AML check,AML Investigator-000001,2023-04-20 09:05:46.463451+00:00,2023-04-20 09:07:43.857607+00:00
3,Check application form completeness,Clerk-000005,2023-04-20 09:30:00+00:00,2023-04-20 09:39:13.435942+00:00
0,Assess loan risk,Loan Officer-000004,2023-04-20 11:46:31.685302+00:00,2023-04-20 12:06:31.685302+00:00
1,Appraise property,Appraiser-000001,2023-04-20 11:59:22.231237+00:00,2023-04-20 13:55:15.777447+00:00
2,Check credit history,Clerk-000008,2023-04-20 09:07:43.857607+00:00,2023-04-20 09:12:47.840969+00:00
4,Check application form completeness,Clerk-000006,2023-04-20 10:00:00+00:00,2023-04-20 10:26:13.277062+00:00
0,Reject application,Clerk-000006,2023-04-20 12:06:31.685302+00:00,2023-04-20 12:16:31.685302+00:00
1,Assess loan risk,Loan Officer-000004,2023-04-20 13:55:15.777447+00:00,2023-04-20 14:15:15.777447+00:00
2,Appraise property,Appraiser-000002,2023-04-20 09:12:47.840969+00:00,2023-04-20 09:24:34.978769+00:00
4,AML check,AML Investigator-000001,2023-04-20 10:26:13.277062+00:00,2023-04-20 10:38:45.838546+00:00
5,Check application form completeness,Clerk-000007,2023-04-20 10:30:00+00:00,2023-04-20 10:32:25.511134+00:00
3,Return application back to applicant,Clerk-000006,2023-04-20 11:59:22.231237+00:00,2023-04-20 12:04:22.231237+00:00
2,Assess loan risk,Loan Officer-000002,2023-04-20 09:24:34.978769+00:00,2023-04-20 09:44:34.978769+00:00
5,Return application back to applicant,Clerk-000006,2023-04-20 10:32:25.511134+00:00,2023-04-20 10:37:25.511134+00:00
4,Appraise property,Appraiser-000002,2023-04-20 10:38:45.838546+00:00,2023-04-20 11:14:48.898860+00:00
6,Check application form completeness,Clerk-000002,2023-04-20 11:00:00+00:00,2023-04-20 11:07:56.322456+00:00
3,Applicant completes form,Applicant-000001,2023-04-20 12:04:22.231237+00:00,2023-04-20 13:04:22.231237+00:00
1,Design loan offer,Loan Officer-000002,2023-04-20 14:15:15.777447+00:00,2023-04-20 14:16:40.922700+00:00
2,Reject application,Clerk-000001,2023-04-20 09:44:34.978769+00:00,2023-04-20 09:54:34.978769+00:00
5,Applicant completes form,Applicant-000001,2023-04-20 10:37:25.511134+00:00,2023-04-20 11:37:25.511134+00:00
6,Appraise property,Appraiser-000001,2023-04-20 11:07:56.322456+00:00,2023-04-20 11:38:05.188354+00:00
4,Check credit history,Clerk-000001,2023-04-20 11:14:48.898860+00:00,2023-04-20 11:44:36.462226+00:00
7,Check application form completeness,Clerk-000004,2023-04-20 11:30:00+00:00,2023-04-20 11:43:45.960914+00:00
3,Check application form completeness,Clerk-000005,2023-04-20 13:04:22.231237+00:00,2023-04-20 13:14:34.124087+00:00
1,Approve loan offer,Senior Officer-000001,2023-04-20 14:16:40.922700+00:00,2023-04-20 14:36:40.922700+00:00
6,Check credit history,Clerk-000007,2023-04-20 11:38:05.188354+00:00,2023-04-20 13:02:50.981273+00:00
7,Check credit history,Clerk-000001,2023-04-20 11:43:45.960914+00:00,2023-04-20 11:55:57.233580+00:00
4,Assess loan risk,Loan Officer-000001,2023-04-20 11:44:36.462226+00:00,2023-04-20 12:04:36.462226+00:00
