case_id,activity,resource,start_time,end_time
S_agent_profile_0000,Check application form completeness,Clerk-000004,2023-04-20T08:00:00+00:00,2023-04-20T08:32:30+00:00
S_agent_profile_0000,AML check,AML Investigator-000002,2023-04-20T08:32:30+00:00,2023-04-20T08:59:49+00:00
S_agent_profile_0000,Appraise property,Appraiser-000002,2023-04-20T08:59:49+00:00,2023-04-20T09:02:59+00:00
S_agent_profile_0000,Check credit history,Clerk-000001,2023-04-20T09:02:59+00:00,2023-04-20T09:06:33+00:00
S_agent_profile_0000,Assess loan risk,Loan Officer-000004,2023-04-20T09:06:33+00:00,2023-04-20T09:26:33+00:00
S_agent_profile_0000,Design loan offer,Loan Officer-000001,2023-04-20T09:26:33+00:00,2023-04-20T09:33:29+00:00
S_agent_profile_0000,Approve loan offer,Senior Officer-000002,2023-04-20T09:33:29+00:00,2023-04-20T09:53:29+00:00
S_agent_profile_0000,Cancel application,Clerk-000002,2023-04-20T09:53:29+00:00,2023-04-20T09:58:29+00:00
S_agent_profile_0001,Check application form completeness,Clerk-000003,2023-04-20T08:30:00+00:00,2023-04-20T09:26:58+00:00
S_agent_profile_0001,AML check,AML Investigator-000002,2023-04-20T09:26:58+00:00,2023-04-20T10:22:42+00:00
S_agent_profile_0001,Appraise property,Appraiser-000002,2023-04-20T10:22:42+00:00,2023-04-20T10:42:18+00:00
S_agent_profile_0001,Check credit history,Clerk-000005,2023-04-20T10:42:18+00:00,2023-04-20T10:45:35+00:00
S_agent_profile_0001,Assess loan risk,Loan Officer-000003,2023-04-20T11:14:01+00:00,2023-04-20T11:34:01+00:00
S_agent_profile_0001,Design loan offer,Loan Officer-000002,2023-04-20T11:34:01+00:00,2023-04-20T11:43:41+00:00
S_agent_profile_0001,Approve loan offer,Senior Officer-000001,2023-04-20T11:43:41+00:00,2023-04-21T04:03:41+00:00
S_agent_profile_0001,Cancel application,Clerk-000008,2023-04-21T04:03:41+00:00,2023-04-21T04:08:41+00:00
S_agent_profile_0002,Check application form completeness,Clerk-000003,2023-04-20T09:00:00+00:00,2023-04-20T09:27:22+00:00
