case_id,activity,resource,start_time,end_time
S_llm_agent_proxy_0000,Check application form completeness,Clerk-000004,2023-04-20T08:00:00+00:00,2023-04-20T08:32:30+00:00
S_llm_agent_proxy_0000,AML check,AML Investigator-000001,2023-04-20T08:32:30+00:00,2023-04-20T08:42:39+00:00
S_llm_agent_proxy_0000,Appraise property,Appraiser-000002,2023-04-20T08:42:39+00:00,2023-04-20T08:45:49+00:00
S_llm_agent_proxy_0000,Check credit history,Clerk-000002,2023-04-20T08:45:49+00:00,2023-04-20T08:47:13+00:00
S_llm_agent_proxy_0000,Assess loan risk,Loan Officer-000001,2023-04-20T08:47:13+00:00,2023-04-20T09:07:13+00:00
S_llm_agent_proxy_0000,Design loan offer,Loan Officer-000003,2023-04-20T09:07:13+00:00,2023-04-20T09:07:17+00:00
S_llm_agent_proxy_0000,Approve loan offer,Senior Officer-000002,2023-04-20T09:07:17+00:00,2023-04-20T09:27:17+00:00
S_llm_agent_proxy_0000,Cancel application,Clerk-000004,2023-04-20T09:27:17+00:00,2023-04-20T09:32:17+00:00
S_llm_agent_proxy_0001,Check application form completeness,Clerk-000003,2023-04-20T08:30:00+00:00,2023-04-20T08:51:00+00:00
S_llm_agent_proxy_0001,AML check,AML Investigator-000002,2023-04-20T08:51:00+00:00,2023-04-20T09:05:11+00:00
S_llm_agent_proxy_0001,Appraise property,Appraiser-000001,2023-04-20T09:05:11+00:00,2023-04-20T09:07:00+00:00
S_llm_agent_proxy_0001,Check credit history,Clerk-000008,2023-04-20T09:07:00+00:00,2023-04-20T09:10:46+00:00
S_llm_agent_proxy_0001,Assess loan risk,Loan Officer-000002,2023-04-20T09:47:21+00:00,2023-04-20T10:07:21+00:00
S_llm_agent_proxy_0001,Design loan offer,Loan Officer-000004,2023-04-20T10:07:21+00:00,2023-04-20T10:17:30+00:00
S_llm_agent_proxy_0001,Approve loan offer,Senior Officer-000002,2023-04-20T10:17:30+00:00,2023-04-20T10:37:30+00:00
S_llm_agent_proxy_0001,Cancel application,Clerk-000001,2023-04-20T10:37:30+00:00,2023-04-20T10:42:30+00:00
S_llm_agent_proxy_0002,Check application form completeness,Clerk-000003,2023-04-20T09:00:00+00:00,2023-04-20T09:08:27+00:00
S_llm_agent_proxy_0002,Appraise property,Appraiser-000002,2023-04-20T09:08:27+00:00,2023-04-20T09:26:08+00:00
S_llm_agent_proxy_0002,Check credit history,Clerk-000001,2023-04-20T09:26:08+00:00,2023-04-21T01:53:56+00:00
S_llm_agent_proxy_0002,AML check,AML Investigator-000001,2023-04-21T01:53:56+00:00,2023-04-21T02:41:03+00:00
S_llm_agent_proxy_0002,Assess loan risk,Loan Officer-000003,2023-04-21T02:41:03+00:00,2023-04-21T03:01:03+00:00
S_llm_agent_proxy_0002,Reject application,Clerk-000003,2023-04-21T03:01:03+00:00,2023-04-21T03:11:03+00:00
S_llm_agent_proxy_0003,Check application form completeness,Clerk-000001,2023-04-20T09:30:00+00:00,2023-04-20T09:44:40+00:00
S_llm_agent_proxy_0003,Appraise property,Appraiser-000002,2023-04-20T09:44:40+00:00,2023-04-20T09:45:58+00:00
S_llm_agent_proxy_0003,Check credit history,Clerk-000005,2023-04-20T09:45:58+00:00,2023-04-20T10:17:30+00:00
S_llm_agent_proxy_0003,AML check,AML Investigator-000002,2023-04-20T10:17:30+00:00,2023-04-20T11:55:45+00:00
S_llm_agent_proxy_0003,Assess loan risk,Loan Officer-000003,2023-04-20T11:55:45+00:00,2023-04-20T12:15:45+00:00
S_llm_agent_proxy_0003,Reject application,Clerk-000002,2023-04-20T12:15:45+00:00,2023-04-20T12:25:45+00:00
S_llm_agent_proxy_0004,Check application form completeness,Clerk-000005,2023-04-20T10:00:00+00:00,2023-04-20T10:23:01+00:00
S_llm_agent_proxy_0004,Return application back to applicant,Clerk-000008,2023-04-20T10:23:01+00:00,2023-04-20T10:28:01+00:00
S_llm_agent_proxy_0004,Applicant completes form,Applicant-000001,2023-04-20T10:28:01+00:00,2023-04-21T03:28:01+00:00
S_llm_agent_proxy_0004,Check application form completeness,Clerk-000006,2023-04-21T03:28:01+00:00,2023-04-21T03:50:47+00:00
S_llm_agent_proxy_0004,AML check,AML Investigator-000001,2023-04-21T03:50:47+00:00,2023-04-21T04:34:31+00:00
S_llm_agent_proxy_0004,Check credit history,Clerk-000001,2023-04-21T04:34:31+00:00,2023-04-21T04:46:32+00:00
S_llm_agent_proxy_0004,Appraise property,Appraiser-000001,2023-04-21T04:46:32+00:00,2023-04-21T05:13:42+00:00
S_llm_agent_proxy_0004,Assess loan risk,Loan Officer-000003,2023-04-21T22:16:26+00:00,2023-04-21T22:36:26+00:00
S_llm_agent_proxy_0004,Design loan offer,Loan Officer-000004,2023-04-21T22:36:26+00:00,2023-04-21T22:48:55+00:00
S_llm_agent_proxy_0004,Approve loan offer,Senior Officer-000001,2023-04-21T22:48:55+00:00,2023-04-21T23:08:55+00:00
S_llm_agent_proxy_0004,Cancel application,Clerk-000005,2023-04-21T23:08:55+00:00,2023-04-21T23:13:55+00:00
S_llm_agent_proxy_0005,Check application form completeness,Clerk-000007,2023-04-20T10:30:00+00:00,2023-04-20T10:50:23+00:00
S_llm_agent_proxy_0005,Check credit history,Clerk-000001,2023-04-20T10:50:23+00:00,2023-04-20T11:15:45+00:00
S_llm_agent_proxy_0005,Appraise property,Appraiser-000001,2023-04-20T11:15:45+00:00,2023-04-20T12:01:54+00:00
S_llm_agent_proxy_0005,AML check,AML Investigator-000001,2023-04-20T12:01:54+00:00,2023-04-20T12:09:21+00:00
S_llm_agent_proxy_0005,Assess loan risk,Loan Officer-000001,2023-04-20T12:47:24+00:00,2023-04-20T13:07:24+00:00
S_llm_agent_proxy_0005,Reject application,Clerk-000004,2023-04-20T13:07:24+00:00,2023-04-20T13:17:24+00:00
S_llm_agent_proxy_0006,Check application form completeness,Clerk-000004,2023-04-20T11:00:00+00:00,2023-04-20T11:11:53+00:00
S_llm_agent_proxy_0006,Check credit history,Clerk-000007,2023-04-20T11:11:53+00:00,2023-04-20T11:35:02+00:00
S_llm_agent_proxy_0006,AML check,AML Investigator-000002,2023-04-20T11:35:02+00:00,2023-04-20T11:52:50+00:00
S_llm_agent_proxy_0006,Appraise property,Appraiser-000001,2023-04-20T11:52:50+00:00,2023-04-20T12:24:24+00:00
S_llm_agent_proxy_0006,Assess loan risk,Loan Officer-000001,2023-04-20T12:35:03+00:00,2023-04-20T12:55:03+00:00
S_llm_agent_proxy_0006,Reject application,Clerk-000008,2023-04-20T12:55:03+00:00,2023-04-20T13:05:03+00:00
S_llm_agent_proxy_0007,Check application form completeness,Clerk-000001,2023-04-20T11:30:00+00:00,2023-04-20T11:30:32+00:00
