case_id,activity,resource,start_time,end_time
S_central_baseline_0000,Check application form completeness,Clerk-000002,2023-04-20T08:00:00+00:00,2023-04-20T08:13:17+00:00
S_central_baseline_0000,Check credit history,Clerk-000008,2023-04-20T08:13:17+00:00,2023-04-20T08:32:50+00:00
S_central_baseline_0000,Appraise property,Appraiser-000002,2023-04-20T08:32:50+00:00,2023-04-20T08:46:32+00:00
S_central_baseline_0000,AML check,AML Investigator-000001,2023-04-20T08:46:32+00:00,2023-04-20T08:54:15+00:00
S_central_baseline_0000,Assess loan risk,Loan Officer-000001,2023-04-20T09:11:20+00:00,2023-04-20T09:31:20+00:00
S_central_baseline_0000,Design loan offer,Loan Officer-000001,2023-04-20T09:31:20+00:00,2023-04-20T09:33:59+00:00
S_central_baseline_0000,Approve loan offer,Senior Officer-000002,2023-04-20T09:33:59+00:00,2023-04-20T09:53:59+00:00
S_central_baseline_0000,Cancel application,Clerk-000001,2023-04-20T09:53:59+00:00,2023-04-20T09:58:59+00:00
S_central_baseline_0001,Check application form completeness,Clerk-000005,2023-04-20T08:30:00+00:00,2023-04-20T08:59:18+00:00
S_central_baseline_0001,AML check,AML Investigator-000002,2023-04-20T08:59:18+00:00,2023-04-20T09:02:20+00:00
S_central_baseline_0001,Check credit history,Clerk-000006,2023-04-20T09:02:20+00:00,2023-04-20T09:10:46+00:00
S_central_baseline_0001,Appraise property,Appraiser-000002,2023-04-20T09:10:46+00:00,2023-04-20T09:23:17+00:00
S_central_baseline_0001,Assess loan risk,Loan Officer-000003,2023-04-20T09:23:17+00:00,2023-04-20T09:43:17+00:00
S_central_baseline_0001,Design loan offer,Loan Officer-000003,2023-04-20T09:43:17+00:00,2023-04-20T09:56:30+00:00
S_central_baseline_0001,Approve loan offer,Senior Officer-000001,2023-04-20T09:56:30+00:00,2023-04-20T10:16:30+00:00
S_central_baseline_0001,Cancel application,Clerk-000004,2023-04-20T10:16:30+00:00,2023-04-20T10:21:30+00:00
S_central_baseline_0002,Check application form completeness,Clerk-000001,2023-04-20T09:00:00+00:00,2023-04-20T09:22:52+00:00
S_central_baseline_0002,Appraise property,Appraiser-000001,2023-04-20T09:22:52+00:00,2023-04-20T10:13:34+00:00
S_central_baseline_0002,Check credit history,Clerk-000008,2023-04-20T10:13:34+00:00,2023-04-20T10:30:00+00:00
S_central_baseline_0002,AML check,AML Investigator-000002,2023-04-20T10:30:00+00:00,2023-04-20T11:25:46+00:00
S_central_baseline_0002,Assess loan risk,Loan Officer-000002,2023-04-20T11:44:28+00:00,2023-04-20T12:04:28+00:00
S_central_baseline_0002,Design loan offer,Loan Officer-000004,2023-04-20T12:04:28+00:00,2023-04-23T05:04:48+00:00
S_central_baseline_0002,Approve loan offer,Senior Officer-000001,2023-04-23T05:04:48+00:00,2023-04-23T05:24:48+00:00
