case_id,activity,previous_activity,previous_resource,decision_timestamp,candidate_count,shortlist_count,shortlist_resources,valid_bid_count,accepted_bid_count,bid_score_range,proposed_resource,executed_resource,proposal_accepted,selection_rule,bid_indices,execution_timestamp
0,Check application form completeness,,,2023-04-20 08:00:00+00:00,8,2,Clerk-000001|Clerk-000006,2,2,0.0,Clerk-000001,Clerk-000001,true,highest_valid_agent_bid,"[0, 1]",2023-04-20 08:00:00+00:00
0,Appraise property,Check application form completeness,Clerk-000001,2023-04-20 08:04:25.926130386+00:00,2,2,Appraiser-000001|Appraiser-000002,2,2,0.010602,Appraiser-000001,Appraiser-000001,true,highest_valid_agent_bid,"[2, 3]",2023-04-20 08:04:25.926130386+00:00
0,AML check,Appraise property,Appraiser-000001,2023-04-20 08:06:17.970720983+00:00,2,2,AML Investigator-000002|AML Investigator-000001,2,2,0.010602,AML Investigator-000002,AML Investigator-000002,true,highest_valid_agent_bid,"[4, 5]",2023-04-20 08:06:17.970720983+00:00
1,Check application form completeness,,,2023-04-20 08:18:45+00:00,8,2,Clerk-000006|Clerk-000008,2,2,0.0014720000000000288,Clerk-000006,Clerk-000006,true,highest_valid_agent_bid,"[6, 7]",2023-04-20 08:18:45+00:00
0,Check credit history,AML check,AML Investigator-000002,2023-04-20 08:23:30.372945242+00:00,8,2,Clerk-000005|Clerk-000002,2,2,0.0008150000000000102,Clerk-000005,Clerk-000005,true,highest_valid_agent_bid,"[8, 9]",2023-04-20 08:23:30.372945242+00:00
1,Check credit history,Check application form completeness,Clerk-000006,2023-04-20 08:20:42.813393542+00:00,8,2,Clerk-000002|Clerk-000004,2,2,0.0008159999999999834,Clerk-000002,Clerk-000002,true,highest_valid_agent_bid,"[10, 11]",2023-04-20 08:20:42.813393542+00:00
0,Assess loan risk,Check credit history,Clerk-000005,2023-04-20 08:30:10.425878307+00:00,4,2,Loan Officer-000001|Loan Officer-000004,2,2,0.007340999999999931,Loan Officer-000001,Loan Officer-000001,true,highest_valid_agent_bid,"[12, 13]",2023-04-20 08:30:10.425878307+00:00
2,Check application form completeness,,,2023-04-20 08:37:30+00:00,8,2,Clerk-000008|Clerk-000007,2,2,0.003679999999999961,Clerk-000008,Clerk-000008,true,highest_valid_agent_bid,"[14, 15]",2023-04-20 08:37:30+00:00
1,Appraise property,Check credit history,Clerk-000002,2023-04-20 08:44:56.641672146+00:00,2,2,Appraiser-000002|Appraiser-000001,2,2,0.16439800000000004,Appraiser-000002,Appraiser-000002,true,highest_valid_agent_bid,"[16, 17]",2023-04-20 08:44:56.641672146+00:00
0,Design loan offer,Assess loan risk,Loan Officer-000001,2023-04-20 08:50:10.425878307+00:00,4,2,Loan Officer-000003|Loan Officer-000002,2,2,0.023610999999999938,Loan Officer-000003,Loan Officer-000003,true,highest_valid_agent_bid,"[18, 19]",2023-04-20 08:50:10.425878307+00:00
