case_id,activity,resource,start_time,end_time
0,Check application form completeness,Clerk-000001,2023-04-20 08:00:00+00:00,2023-04-20 08:04:25.926130+00:00
0,Appraise property,Appraiser-000001,2023-04-20 08:04:25.926130+00:00,2023-04-20 08:06:17.970720+00:00
0,AML check,AML Investigator-000002,2023-04-20 08:06:17.970720+00:00,2023-04-20 08:23:30.372945+00:00
1,Check application form completeness,Clerk-000006,2023-04-20 08:18:45+00:00,2023-04-20 08:20:42.813393+00:00
0,Check credit history,Clerk-000005,2023-04-20 08:23:30.372945+00:00,2023-04-20 08:30:10.425878+00:00
1,Check credit history,Clerk-000002,2023-04-20 08:20:42.813393+00:00,2023-04-20 08:44:56.641672+00:00
0,Assess loan risk,Loan Officer-000001,2023-04-20 08:30:10.425878+00:00,2023-04-20 08:50:10.425878+00:00
2,Check application form completeness,Clerk-000008,2023-04-20 08:37:30+00:00,2023-04-20 09:23:43.284560+00:00
1,Appraise property,Appraiser-000002,2023-04-20 08:44:56.641672+00:00,2023-04-20 09:37:16.768066+00:00
0,Design loan offer,Loan Officer-000003,2023-04-20 08:50:10.425878+00:00,2023-04-20 08:59:00.096743+00:00
3,Check application form completeness,Clerk-000007,2023-04-20 08:56:15+00:00,2023-04-20 09:18:53.686644+00:00
0,Approve loan offer,Senior Officer-000001,2023-04-20 08:59:00.096743+00:00,2023-04-20 09:19:00.096743+00:00
2,AML check,AML Investigator-000001,2023-04-20 09:23:43.284560+00:00,2023-04-20 11:50:57.780673+00:00
1,AML check,AML Investigator-000002,2023-04-20 09:37:16.768066+00:00,2023-04-20 10:03:51.764434+00:00
4,Check application form completeness,Clerk-000003,2023-04-20 09:15:00+00:00,2023-04-20 09:37:08.663364+00:00
3,Appraise property,Appraiser-000001,2023-04-20 09:18:53.686644+00:00,2023-04-20 09:50:16.805462+00:00
0,Cancel application,Clerk-000004,2023-04-20 09:19:00.096743+00:00,2023-04-20 09:24:00.096743+00:00
1,Assess loan risk,Loan Officer-000004,2023-04-20 10:03:51.764434+00:00,2023-04-20 10:23:51.764434+00:00
2,Check credit history,Clerk-000005,2023-04-20 11:50:57.780673+00:00,2023-04-20 12:08:47.514655+00:00
4,Check credit history,Clerk-000002,2023-04-20 09:37:08.663364+00:00,2023-04-20 10:02:37.443184+00:00
1,Reject application,Clerk-000001,2023-04-20 10:23:51.764434+00:00,2023-04-20 10:33:51.764434+00:00
2,Appraise property,Appraiser-000002,2023-04-20 12:08:47.514655+00:00,2023-04-20 12:22:48.250134+00:00
5,Check application form completeness,Clerk-000006,2023-04-20 09:33:45+00:00,2023-04-20 10:14:11.760473+00:00
6,Check application form completeness,Clerk-000008,2023-04-20 09:52:30+00:00,2023-04-20 10:16:58.081677+00:00
3,Check credit history,Clerk-000004,2023-04-20 10:03:51.764434+00:00,2023-04-20 10:43:06.576515+00:00
4,AML check,AML Investigator-000002,2023-04-20 10:03:51.764434+00:00,2023-04-20 10:05:15.029428+00:00
7,Check application form completeness,Clerk-000007,2023-04-20 10:11:15+00:00,2023-04-20 10:22:35.693866+00:00
5,Appraise property,Appraiser-000001,2023-04-20 10:14:11.760473+00:00,2023-04-20 12:49:42.175954+00:00
6,AML check,AML Investigator-000002,2023-04-20 10:16:58.081677+00:00,2023-04-20 10:29:44.685702+00:00
3,AML check,AML Investigator-000002,2023-04-20 10:43:06.576515+00:00,2023-04-20 12:24:03.728266+00:00
2,Assess loan risk,Loan Officer-000002,2023-04-20 12:22:48.250134+00:00,2023-04-20 12:42:48.250134+00:00
4,Appraise property,Appraiser-000002,2023-04-20 10:05:15.029428+00:00,2023-04-20 10:05:38.520137+00:00
6,Appraise property,Appraiser-000002,2023-04-20 10:29:44.685702+00:00,2023-04-20 11:34:26.672063+00:00
8,Check application form completeness,Clerk-000003,2023-04-20 10:30:00+00:00,2023-04-20 10:45:40.297157+00:00
3,Assess loan risk,Loan Officer-000001,2023-04-20 12:24:03.728266+00:00,2023-04-20 12:44:03.728266+00:00
2,Reject application,Clerk-000001,2023-04-20 12:42:48.250134+00:00,2023-04-20 12:52:48.250134+00:00
5,Check credit history,Clerk-000005,2023-04-20 12:49:42.175954+00:00,2023-04-20 13:06:17.279254+00:00
4,Assess loan risk,Loan Officer-000003,2023-04-20 10:05:38.520137+00:00,2023-04-20 10:25:38.520137+00:00
7,AML check,AML Investigator-000002,2023-04-20 10:29:44.685702+00:00,2023-04-20 10:39:15.541581+00:00
8,Return application back to applicant,Clerk-000006,2023-04-20 10:45:40.297157+00:00,2023-04-20 10:50:40.297157+00:00
9,Check application form completeness,Clerk-000008,2023-04-20 10:48:45+00:00,2023-04-20 11:12:28.258714+00:00
6,Check credit history,Clerk-000002,2023-04-20 11:34:26.672063+00:00,2023-04-20 11:57:06.583521+00:00
3,Reject application,Clerk-000004,2023-04-20 12:44:03.728266+00:00,2023-04-20 12:54:03.728266+00:00
4,Reject application,Clerk-000007,2023-04-20 10:25:38.520137+00:00,2023-04-20 10:35:38.520137+00:00
7,Check credit history,Clerk-000007,2023-04-20 10:39:15.541581+00:00,2023-04-20 11:16:59.967033+00:00
8,Applicant completes form,Applicant-000001,2023-04-20 10:50:40.297157+00:00,2023-04-20 11:50:40.297157+00:00
6,Assess loan risk,Loan Officer-000004,2023-04-20 11:57:06.583521+00:00,2023-04-20 12:17:06.583521+00:00
9,Check credit history,Clerk-000003,2023-04-20 11:34:26.672063+00:00,2023-04-20 11:38:52.717185+00:00
8,Check application form completeness,Clerk-000006,2023-04-20 11:50:40.297157+00:00,2023-04-20 11:51:17.681839+00:00
6,Design loan offer,Loan Officer-000003,2023-04-20 12:17:06.583521+00:00,2023-04-20 12:51:19.683439+00:00
5,AML check,AML Investigator-000001,2023-04-20 13:06:17.279254+00:00,2023-04-20 13:30:21.968194+00:00
8,Check credit history,Clerk-000003,2023-04-20 11:51:17.681839+00:00,2023-04-20 13:42:02.137077+00:00
