case_id,activity,resource,start_time,end_time
0,Check application form completeness,Clerk-000006,2023-04-20 08:00:00+00:00,2023-04-20 08:01:49.837486+00:00
0,Check credit history,Clerk-000002,2023-04-20 08:01:49.837486+00:00,2023-04-20 09:04:03.353146+00:00
1,Check application form completeness,Clerk-000008,2023-04-20 08:30:00+00:00,2023-04-20 08:38:48.358809+00:00
0,AML check,AML Investigator-000002,2023-04-20 09:04:03.353146+00:00,2023-04-20 10:00:33.539298+00:00
1,AML check,AML Investigator-000001,2023-04-20 08:38:48.358809+00:00,2023-04-20 10:00:22.605921+00:00
2,Check application form completeness,Clerk-000007,2023-04-20 09:00:00+00:00,2023-04-20 09:02:14.308287+00:00
0,Appraise property,Appraiser-000001,2023-04-20 10:00:33.539298+00:00,2023-04-20 10:31:58.999555+00:00
3,Check application form completeness,Clerk-000003,2023-04-20 09:30:00+00:00,2023-04-20 09:33:51.785643+00:00
1,Appraise property,Appraiser-000002,2023-04-20 10:00:22.605921+00:00,2023-04-20 12:01:09.556408+00:00
0,Assess loan risk,Loan Officer-000001,2023-04-20 10:31:58.999555+00:00,2023-04-20 10:51:58.999555+00:00
3,Check credit history,Clerk-000002,2023-04-20 09:33:51.785643+00:00,2023-04-20 13:49:52.045632+00:00
4,Check application form completeness,Clerk-000006,2023-04-20 10:00:00+00:00,2023-04-20 11:35:02.613714+00:00
0,Design loan offer,Loan Officer-000003,2023-04-20 10:51:58.999555+00:00,2023-04-20 10:59:03.659295+00:00
1,Check credit history,Clerk-000004,2023-04-20 12:01:09.556408+00:00,2023-04-20 14:18:09.240133+00:00
5,Check application form completeness,Clerk-000008,2023-04-20 10:30:00+00:00,2023-04-20 10:46:33.365886+00:00
0,Approve loan offer,Senior Officer-000001,2023-04-20 10:59:03.659295+00:00,2023-04-20 11:19:03.659295+00:00
4,Check credit history,Clerk-000003,2023-04-20 11:35:02.613714+00:00,2023-04-20 12:03:55.826414+00:00
2,Check credit history,Clerk-000006,2023-04-20 12:01:09.556408+00:00,2023-04-20 12:06:58.693374+00:00
3,AML check,AML Investigator-000002,2023-04-20 13:49:52.045632+00:00,2023-04-20 14:11:04.144957+00:00
1,Assess loan risk,Loan Officer-000004,2023-04-20 14:18:09.240133+00:00,2023-04-20 14:38:09.240133+00:00
5,Return application back to applicant,Clerk-000008,2023-04-20 10:46:33.365886+00:00,2023-04-20 10:51:33.365886+00:00
6,Check application form completeness,Clerk-000008,2023-04-20 11:00:00+00:00,2023-04-20 11:17:17.620444+00:00
0,Cancel application,Clerk-000008,2023-04-20 11:19:03.659295+00:00,2023-04-20 11:24:03.659295+00:00
