case_id,activity,previous_activity,previous_resource,decision_timestamp,candidate_count,shortlist_count,shortlist_resources,valid_bid_count,accepted_bid_count,bid_score_range,proposed_resource,executed_resource,proposal_accepted,selection_rule,bid_indices,execution_timestamp
0,Check application form completeness,,,2023-04-20 08:00:00+00:00,6,2,Clerk-000006|Clerk-000008,2,2,0.003020999999999996,Clerk-000006,Clerk-000006,true,highest_valid_agent_bid,"[0, 1]",2023-04-20 08:00:00+00:00
1,Check application form completeness,,,2023-04-20 08:30:00+00:00,6,2,Clerk-000008|Clerk-000007,2,2,0.007553000000000004,Clerk-000008,Clerk-000008,true,highest_valid_agent_bid,"[2, 3]",2023-04-20 08:30:00+00:00
0,Check credit history,Check application form completeness,Clerk-000006,2023-04-20 08:45:01.584898999+00:00,6,2,Clerk-000002|Clerk-000004,2,2,0.0016750000000000098,Clerk-000002,Clerk-000002,true,highest_valid_agent_bid,"[4, 5]",2023-04-20 08:45:01.584898999+00:00
1,Check credit history,Check application form completeness,Clerk-000008,2023-04-20 08:37:23.247471904+00:00,6,2,Clerk-000004|Clerk-000003,2,2,0.013400999999999996,Clerk-000004,Clerk-000004,true,highest_valid_agent_bid,"[6, 7]",2023-04-20 08:37:23.247471904+00:00
2,Check application form completeness,,,2023-04-20 09:00:00+00:00,6,2,Clerk-000007|Clerk-000003,2,2,0.007553000000000004,Clerk-000007,Clerk-000007,true,highest_valid_agent_bid,"[8, 9]",2023-04-20 09:00:00+00:00
0,Appraise property,Check credit history,Clerk-000002,2023-04-20 09:36:32.330928278+00:00,2,2,Appraiser-000001|Appraiser-000002,2,2,0.01631200000000005,Appraiser-000001,Appraiser-000001,true,highest_valid_agent_bid,"[10, 11]",2023-04-20 09:36:32.330928278+00:00
1,Appraise property,Check credit history,Clerk-000004,2023-04-20 08:42:07.307756897+00:00,2,1,Appraiser-000002,1,1,0.0,Appraiser-000002,Appraiser-000002,true,highest_valid_agent_bid,[12],2023-04-20 08:42:07.307756897+00:00
2,Appraise property,Check application form completeness,Clerk-000007,2023-04-20 09:22:27.519763730+00:00,2,1,Appraiser-000002,1,1,0.0,Appraiser-000002,Appraiser-000002,true,highest_valid_agent_bid,[13],2023-04-20 09:22:27.519763730+00:00
3,Check application form completeness,,,2023-04-20 09:30:00+00:00,6,2,Clerk-000003|Clerk-000006,2,2,0.018127000000000004,Clerk-000006,Clerk-000006,true,highest_valid_agent_bid,"[14, 15]",2023-04-20 09:30:00+00:00
0,AML check,Appraise property,Appraiser-000001,2023-04-20 09:38:13.255812106+00:00,2,2,AML Investigator-000002|AML Investigator-000001,2,2,0.01631200000000005,AML Investigator-000002,AML Investigator-000002,true,highest_valid_agent_bid,"[16, 17]",2023-04-20 09:38:13.255812106+00:00
1,AML check,Appraise property,Appraiser-000002,2023-04-20 08:44:21.586042222+00:00,2,1,AML Investigator-000001,1,1,0.0,AML Investigator-000001,AML Investigator-000001,true,highest_valid_agent_bid,[18],2023-04-20 08:44:21.586042222+00:00
3,Appraise property,Check application form completeness,Clerk-000006,2023-04-20 09:34:49.150306345+00:00,2,2,Appraiser-000001|Appraiser-000002,2,2,0.01631200000000005,Appraiser-000001,,,highest_valid_agent_bid,"[19, 20]",
