seed,mode,decisions,resources_used,resource_coverage,max_resource_share,assignment_entropy,normalized_assignment_entropy,effective_resource_count,hhi,activity_capability_coverage,activity_conditional_entropy,conditional_decisions
8200,central_baseline,712.0,19.0,1.0,0.07303370786516854,2.8839638590527557,0.9794612418387407,17.885026583242393,0.057828872617093796,0.9927407932011332,0.9792362105924179,706.0
8200,agent_profile,712.0,19.0,1.0,0.07584269662921349,2.8929041493364274,0.9824975724765733,18.04564081173398,0.056996433531119814,0.9957507082152974,0.9866350547148478,706.0
8200,llm_agent_proxy,712.0,19.0,1.0,0.07303370786516854,2.89222701781477,0.9822676028536849,18.033425675605432,0.05695698144173715,0.9957507082152974,0.9849584061384083,706.0
8200,llm_agent_real,712.0,11.0,0.5789473684210527,0.28230337078651685,1.887262666562805,0.6409583217435472,6.601274038652748,0.1758103459159197,0.4121813031161473,0.08389577303229612,706.0
8300,central_baseline,736.0,19.0,1.0,0.08559782608695653,2.8980645896987696,0.9842501781168516,18.139004957805437,0.056832614603024585,0.9972527472527473,0.979551587511169,728.0
8300,agent_profile,736.0,19.0,1.0,0.07201086956521739,2.9013154477025647,0.985354245148567,18.198068238407195,0.05634894848771266,0.9931318681318682,0.9823019389404314,728.0
8300,llm_agent_proxy,736.0,19.0,1.0,0.07336956521739131,2.8992282911770952,0.9846453982204297,18.160125631386254,0.0566000118147448,0.9945054945054945,0.9834149225745158,728.0
8300,llm_agent_real,736.0,10.0,0.5263157894736842,0.26902173913043476,1.9459361586585404,0.6608852051026127,7.000182069590358,0.16322439154064272,0.36675824175824173,0.07250864525476827,728.0
8400,central_baseline,744.0,19.0,1.0,0.07123655913978495,2.8987540516734738,0.984484335448548,18.151515424232677,0.05665033529887849,0.9933763586956522,0.9781348388054074,736.0
8400,agent_profile,744.0,19.0,1.0,0.06854838709677419,2.9054555665921695,0.9867603258718892,18.27356658269556,0.05592409527112961,0.9933763586956522,0.9850477891187082,736.0
8400,llm_agent_proxy,744.0,19.0,1.0,0.07123655913978495,2.903794264711113,0.9861961090914393,18.243233875026597,0.05610475199445022,0.998641304347826,0.9855910202973205,736.0
8400,llm_agent_real,744.0,10.0,0.5263157894736842,0.2647849462365591,1.9617584437072555,0.6662588213197144,7.11182181459726,0.16063634524222456,0.37907608695652173,0.07885601452141726,736.0
